家庭内,"読み方: かていない
意味（ベトナム語）:Trong gia đình
使い方: ・家庭内にウィルスを持ち込まないようにしましょう
"
会社内,"読み方: かいしゃない
意味（ベトナム語）:Trong công ty
使い方: ・この資料は会社内で使うようにしてください
"
建物,"読み方: たてもの
意味（ベトナム語）:Toà nhà
使い方: ・私の会社はあの建物の中にあります
類似表現: ビルディング"
狭い,"読み方: せまい
意味（ベトナム語）:Hẹp
使い方: ・私の部屋が狭いです
"
空間,"読み方: くうかん
意味（ベトナム語）:Không gian
使い方: 
"
経由,"読み方: けいゆ
意味（ベトナム語）:Qua, Thông qua
使い方: ・Ha NoiからDa nang経由でHo Chi Minhへ行きます
・部長を経由して提案する
"
やり取り,"読み方: やりとり
意味（ベトナム語）:Trao đổi
使い方: ・メールで情報をやりとりする
"
Printer,"読み方: プリンタ
意味（ベトナム語）:Máy in
使い方: ・新しいプリンタを買いました
"
記憶装置,"読み方: きおくそうち
意味（ベトナム語）:Thiết bị lưu trữ
使い方: ・記憶装置の種類がたくさんあります
"
共有,"読み方: きょうゆう
意味（ベトナム語）:Chia sẻ
使い方: ・授業スライドを共有します
"
入出力,"読み方: にゅうしゅつりょく
意味（ベトナム語）:Xuất nhập
使い方: ・ファイルの出入力を監視するプログラムを組みます
"
多数,"読み方: たすう
意味（ベトナム語）:Nhiều
使い方: ・多数の感染者が確認された
"
バラバラ,"読み方: 
意味（ベトナム語）:Tung lung, rời rạc
使い方: ・意見が合わなかったため、チームがバラバラになった
"
送信する,"読み方: そうしんする
意味（ベトナム語）:Gửi
使い方: ・ミーティングの後、みんなにメールを送信します
"
混乱,"読み方: こんらん
意味（ベトナム語）:Hỗn loạn , lẫn lộn
使い方: ・同時に複数のタスクを与えてしまうと、子供が混乱してしまいます
"
伝送路,"読み方: でんそうろ
意味（ベトナム語）:Kênh giao tiếp
使い方: データをやり取りするための経路を伝送路といいます。
"
形態,"読み方: けいたい
意味（ベトナム語）:Hình thái
使い方: ・雇用形態を変更する際に注意が必要です
"
バス型,"読み方: ばすがた
意味（ベトナム語）:Dạng tuyến
使い方: 
"
スター型,"読み方: すたーがた
意味（ベトナム語）:Dạng sao
使い方: 
"
リング型,"読み方: りんぐがた
意味（ベトナム語）:Dạng vòng
使い方: 
"
信号,"読み方: しんごう
意味（ベトナム語）:Tín hiệu
使い方: ・赤信号になると、車を止めないといけません
"
ぶつかる,"読み方: ぶつかる
意味（ベトナム語）:Va, va chạm
使い方: ・彼女はもう少で車にぶつかるところだった
・問題にぶつかった時にどのように解決するか
"
優先,"読み方: ゆうせん
意味（ベトナム語）:Ưu tiên
使い方: ・仕事には優先順位があります
"
制御,"読み方: せいぎょ
意味（ベトナム語）:Kiểm soát
使い方: ・ロボットの動きを制御できるようになった
"
方式,"読み方: ほうしき
意味（ベトナム語）:Phương thức
使い方: ・実現方式には２種類があります
"
使用中,"読み方: しようちゅう
意味（ベトナム語）:Đang sử dụng
使い方: ・そのPCが使用中かどうか確認してみてください
"
Batting ,"読み方: バッティング
意味（ベトナム語）:Va chạm, đụng đầu
 二つの物事がぶつかること
使い方: ・日程がバッティングする
"
衝突,"読み方: しょうとつ
意味（ベトナム語）:Xung đột
使い方: ・複数の人が同時に同じファイルを修正すると、衝突が起きます
"
検出,"読み方: けんしゅつ
意味（ベトナム語）:Phát hiện, dò thấy
使い方: ・障害物を検知した時にすぐ止めるようにする
"
Timing,"読み方: タイミング
意味（ベトナム語）:Thời điểm
使い方: ・報告するタイミングが大事ですよ
"
再送する,"読み方: さいそうする
意味（ベトナム語）:Gửi lại
使い方: ・メールを再送する際に注意するマナーを紹介します
"
処理速度,"読み方: しょりそくど
意味（ベトナム語）:Tốc độ xử lý
使い方: ・プログラムの書き方によって処理速度が変わります
"
低下する,"読み方: ていかする
意味（ベトナム語）:Giảm đi, yếu đi
使い方: ・昨日に比べて気温が低下する
"
Local Area Network,"読み方: ローカル・エリア・ネットワーク        
意味（ベトナム語）:Mạng nội bộ
使い方: 
"
CSMA/CD,"読み方: シーエスエムエー/シーディー
意味（ベトナム語）:Đa truy cập cảm nhận sóng mang phát hiện xung đột
使い方: 
"
域内,"読み方: いきない
意味（ベトナム語）:Trong khu vực
使い方: ・域内貿易、東アジア域内経済関係
"
物理的,"読み方: ぶつりてき
意味（ベトナム語）:Mang tính vật lý
使い方: ・物理的な変化
類似表現: 物質的
＞＜精神的、心理的"
広域,"読み方: こういき
意味（ベトナム語）:Khu vực rộng
使い方: ・広域交通制御
・事業を広域化する
"
構築,"読み方: こうちく
意味（ベトナム語）:Xây dựng
使い方: ・データベースを構築する
類似表現: 作り、建設、建立、建築"
私有地,"読み方: しゆうち
意味（ベトナム語）:Đất tư nhân
使い方: 
"
超える,"読み方: こえる
意味（ベトナム語）:Vượt qua
使い方: ・お湯は100度を超えられない
"
勝手に,"読み方: かってに
意味（ベトナム語）:Tuỳ tiện, tự ý
使い方: ・勝手にパソコンの電源が入る
・勝手なことばかり言ってごめんなさい
"
敷設する,"読み方: ふせつする
意味（ベトナム語）:Xây dựng, lắp đặt
使い方: ・鉄道を敷設する
"
電気通信,"読み方: でんきつうしん
意味（ベトナム語）:Điện tử viễn thông
使い方: ・電気通信装置
・電気通信システム
"
事業者,"読み方: じぎょうしゃ
意味（ベトナム語）:Nhà cung cấp, doanh nghiệp
使い方: ・通産省に電力事業者として許可申請を行う
"
形態,"読み方: けいたい
意味（ベトナム語）:Kiểu, hình thái
使い方: ・政治形態
・開発形態
類似表現: 形、形状"
分類,"読み方: ぶんるい
意味（ベトナム語）:Phân loại
使い方: ・食品分類表
・魚を分類する
類似表現: カテゴリー化、種別"
専用線方式,"読み方: せんようせんほうしき
意味（ベトナム語）:Phương thức kết nối dành riêng (chuyên dụng)
Phương thức kênh thuê riêng (Leased-line)
使い方: 
"
パケット交換方式,"読み方: 
意味（ベトナム語）:Phương thức chuyển mạch gói
使い方: 
"
独り占めする,"読み方: ひとりじめする
意味（ベトナム語）:Độc chiếm, độc quyền
使い方: ・弟がいつもテレビを独占している
"
独占する,"読み方: どくせんする
意味（ベトナム語）:Độc 
quyền
使い方: 
"
安定する,"読み方: あんていする
意味（ベトナム語）:Ổn định
使い方: ・安定した生活をする
"
大量,"読み方: たいりょう
意味（ベトナム語）:Lượng lớn
使い方: ・雨が大量に降る
類似表現: 多量、豊満、たくさん"
通信料金,"読み方: つうしんりょうきん
意味（ベトナム語）:Chi phí truyền gửi data
使い方: 
"
