離れる,"はなれる
Cách ra, rời xa, tách xa

・親離れ　Sống rời xa cha mẹ (sống tự lập)
・飛行機は陸を離れます
・アパートは学校から離れたところにあります
遠い"
場所,"ばしょ
Địa điểm, Vị trí, Nơi

・集合場所  Địa điểm tập chung
・実施場所  Nơi thực thi
位置、ところ、スペース"
通信,"つうしん
Truyền Thông, Thông tin, Truyền tin, Liên lạc
送り手が情報を送り、また受け手が情報を受けることである
特に電気的な手段を用いて行える場合を指すことが多い
通信する／通信をする／通信を行う
・コンピュータ同士が通信をする
・無線で通信する

通信＋N
・電気通信 Viễn thông  
・通信機器 Thiết bị truyền thông
・通信回線  Đường truyền　　　
・通信速度  Tốc độ truyền tin　　　
・通信障害  Lỗi truyền thông　　
・通信相手  Đối tác truyền tin
"
約束,"やくそく
Hứa hẹn

予約する／約束をする
・秘密を守ることを約束しますよ

・約束事：Tập hợp quy ước (giao thức)
誓約、誓う"
手順,"てじゅん
Trình tự, thứ tự

・手順を定める　Xác định trình tự
・手順を踏む       Làm theo trình tự
・手順を決める   Quyết định trình tự  

・実際の手順　Trình tự thực tế
・接続手順       Trình tự kết nối
順序、順番、過程、プロセス、次第、流"
経路,"けいろ
Kênh(Chanel), Con đường

・販売経路                    Kênh bán hàng
・AからBへ行く経路    Con đường đi từ A đến B
ルート（route）、道ずじ、道順
"
同士,"どうし
Hội, nhóm, các 
Dùng để diễn tả 1 nhóm người, nhóm sự vật, sự việc có cùng tính chất với nhau

・兄弟同士　　　　　　　Anh em
・仲間同士で旅行に行く　Đi du lịch cùng nhóm bạn thân
・コンピュータ同士　　　Các máy tính
"
あらかじめ,"
Sẵn sàng, trước

・授業の前にあらかじめ単語を調べておいた。
・あらかじめ配布した用紙に記入してください。
前もって、事前に"
Protocol,"プロトコル
Giao thức

・プロトコルの仕組みを理解する
・IPやFTP、HTTPといったいくつかの（通信）プロトコルが開発された
"
Computer,"コンピュータ
Máy tính

・コンピュータを操作します
・コンピュータは演算をし、情報を処理します
パソコン、計算機"
Network,"ネットワーク
Mạng, mạng lưới

ケーブルや無線などを使って複数のコンピュータをつなぎお互いに情報をやり取りできるようにした仕組み

 個々の人のつながり。特に、情報の交換を行うグループ
・ネットワーク接続状況を調査する
・ネットワークに登録されたIPアドレスやドメイン名などを確認できる

・人的ネットワーク
・人脈ネットワーク
・地域ネットワーク
"
Internet,"インターネット
Mạng

・インターネットに接続する
・インターネットを利用する

インターネット＋N
・インターネット閲覧ソフト　phần mềm duyệt Web
・インターネット経由　　　　thông qua Internet

インターネット上
・インターネット上で買い物をする
"
普及,"ふきゅう
Phổ cập
広く一般に行き渡ること、行き渡らせること
普及する
・インターネットが普及する

普及＋N
・普及版　phiên bản phổ cập
・普及率　tỉ lệ phổ cập（普及率が上がる）
"
Maker,"メーカ
Nhà sản xuất
製造業者、製造会社、つまり物事を作り出す人
N＋メーカ
・食品メーカ、自動車メーカ、…
風通は「メーカー」と書いてある
"
機種,"きしゅ
Loại máy
Loại thiết bị
機械の種類
機種＋N
・スマホの機種変更
"
機能,"きのう
Chức năng (function)
物のはたらき
・新しい機能を開発する

N＋機種
・通信機能

機種＋N
・機能面　　Phương diện chức năng
・機能仕様　Thông số chức năng, mô tả chức năng
"
仕組み,"しくみ
Cơ cấu, cơ chế, tổ chức
物事の組み立て、構造、機構
N＋仕組み
・ネットワーク通信機能の仕組み
組織、組み立て、システム"
異なる,"ことなる
Khác biệt, khác nhau 
他の物から差異を持つこと
・が/は異なる　Cái gì khác biệt
　彼女はお姉さんと顔がそっくりだが、性格がだいぶ異なってます
・によって異なる　Khác nhau tuỳ theo...
　料理の作り方は人によって異なっています
・と異なる　Khác với
　ウワサは事実と異なっている
違う"
多大,"ただい
Nhiều, to lớn
数量・規模などが非常に大きいこと
・多大な影響がある
最大、巨大、盛大"
労力,"ろうりょく
Công sức, hơi sức
働くことにいる力

・労力を費やす　Bỏ ra công sức
・労力がかかる　Tốn công sức
苦労、労苦、努力
"
もっと,"
Thêm nữa, hơn nữa
Dùng để biểu thị mức độ cao hơn mức độ hiện tại
その上に、さらに。
（添加の意味を持つ表現）
・雨がもっと強くなる
・もっと勉強してほしい
更に、ますます"
簡単,"かんたん
Đơn giản

・簡単に言えば
・簡単な日本語なら理解できます
"
機器,"きき
Máy móc, công cụ, dụng cụ
機械・器械・器具の総称。
・情報機器
・電子機器
・医療機器
"
備える,"そなえる
Chuẩn bị, trang bị, sẵn có
起こる事態に対応できるように準備しておく
・教室にコンピューターを備える
・才能を備える
"
ISO,"アイエスオー
Tổ chức tiêu chuẩn hoá quốc tế


"
International Organization for Standardization,"インターナショナル・オーガニゼイション・フォー・スタンダーダイゼイション



"
国際標準化機構,"こくさいひょうじゅんかきこう



"
国際,"こくさい
Quốc tế
一国内の問題ではなく、諸国民・諸国家の間に存在・関係すること

"
標準化,"ひょうじゅんか
Tiêu chuẩn hoá
製品・資材などの種類や規格を、標準に合わせて整えること
・入力メソッドを指定する値は標準化されていない
"
機構,"きこう
Cơ quan, tổ chức
色々な部分が互いに関連して働く仕組み、会社や団体などの組織
・政治機構、社会機構
"
定める,"さだめる
Quyết định, xác định, quy định
物事を決めること

・期限を定める
決める、決定"
OSI ,"オーエスアイ
Mô hình tham chiếu kết nối các hệ thống mở


"
Open System Interconnection,"オープン・システム・インターコネクション



"
基本参照モデル,"きほんさんしょうモデル



"
基本,"きほん
Cơ bản

・基本的なこと、法律の基本、基本色
"
参照,"さんしょう
Tham chiếu, tham khảo

・参照のみ、下記参照
・詳細は付録を参照する
"
Model,"モデル
Mô hình


"
Software,"ソフトウェア
Phần mềm
コンピュータに対して命令を出すプログラム

"
開発,"かいはつ
Phát triển (phát triển phần mềm)
新しいものを作り出すこと。また、対象に働きかけて機能や能力を獲得・発展させたり、人間の役に立つ状態に作り変えたりすること。
開発＋N
・開発者
・開発機能

開発する
・新しい交通システムを開発する
・学生管理のアプリを開発する
間違いやすい表現：「発展」

発展：進歩してより優れた段階に向かうこと。規模が大きくなること（phát triển kinh tế）
例文：会社の発展に貢献する。"
Smooth,"スムーズ
Mịn màng, trôi chảy, nhịp nhàng (smooth), thuận lợi
「物事や動作が円滑に進むさま」という意味のカタカナ語です。
・スムーズなスキン
・仕事が予定よりスムーズに進んでいます
"
役割,"やくわり
Vai trò

・皆で役割を分担します
・重要な役割を果たします
"
次の通り,"つぎのとおり
Như sau 

・授業の目標は次の通りです
"
転送,"てんそう
rời chuyển, chuyển tiếp, truyền đi

・転送する
・ファイル転送、メール転送
"
閲覧,"えつらん
Xem
「閲覧」は本やウェブページなど、文章が書かれたようなものを調べようと読むことを指して使います。
閲覧する
・本を閲覧する
・サイトを閲覧する

閲覧＋N
・閲覧者、閲覧室
見る
読む"
誤り,"あやまり
Lỗi, sai 

・記載内容に誤りがあります
・計算の誤りがあります
間違い"
制御,"せいぎょ
Kiểm soát, chế ngự

・電子機器を制御する制御装置
コントロール"
再送,"さいそう
Gửi lại 
再び送る
・念の為、メールを再送します
"
要求,"ようきゅう
Yêu cầu, đòi hỏi

・体が水分を要求する
リクエスト"
対応,"たいおう
Đáp ứng, xử lý, đối ứng, phản ứng 

・タスクを対応します
・通信サービスに対応するプロトコル
"
表現,"ひょうげん
Thể hiện, trình bày, biểu diễn

・表現型、表現力
・表現する
　言葉で表現する
表わす、表出、体現、表明"
形式,"けいしき
Kiểu, dạng, định dạng 
物・事となって現れている形や型
・自由形式課題、暗号化形式
・論文の形式
フォーマット"
文字コード,"もじこーど
Mã kí tự
Character code
文字や記号をコンピュータ上でデータとして扱うために、一文字ずつ固有の識別番号を与えて区別できるようにした符号のこと

"
暗号,"あんごう
Mã hoá
ある情報を特定の決まった人しか読めないように一定の手順に基づいて無意味な文字や符号の列に置き換えたもの
・暗号化、暗号アルゴリズム、暗号鍵
・暗号化する
・暗号を破る
"
開始,"かいし
Bắt đầu 
はじめること
・事業開始時
・開始する
スタート、始まる、始める"
終了,"しゅうりょう
Kết thúc
終わること
・終了日付
・終了する
終わる、終える"
隣接,"りんせつ
Bên cạnh, kế bên
すぐ隣につづくこと
・隣接地
・隣接する
　隣接する国に対する情報提供
となり"
壊れる,"こわれる
Vỡ, hỏng

・壊れ物
・私は壊れるまでこの自転車を使いたい
"
信頼性,"しんらいせい
Tính tin cậy

・情報の信頼性
・信頼性を築く
・信頼性を向上させる
信頼度、確かさ"
確保,"かくほ
Đảm bảo, Cam đoan
しっかり得ているものを保ったり、そろえたり、自分の支配が及ぶ状態にしたりすること
・安全の確保、安全確保
・人材を確保する
"
選択,"せんたく
Lựa chọn, tuyển chọn
よいもの、適当なものを選び取ること
・選択科目
・選択する
"
規定,"きてい
Quy định, quy ước
性質や概念など、一定の内容をもつものとして定めること
・倫理規定
・規定を守る ＞＜ 規定を破る
・規定する
規約、規程、規律、ルール"
中継,"ちゅうけい
Chuyển tiếp 
Truyền 
中間で受け渡しする
・データの中継をする/行う
"
電気信号,"でんきしんごう
Tín hiệu điện 
電気によって情報を伝える信号

"
物理的,"ぶつりてき
Mang tính vật lý
空間、時間、重量などの数量に置き換えられる面からとらえるさま
物理学にかかわるさま、物理学の法則にかなっているさま
・ハードウェアはディスプレイやキーボードなど物理的なものである
・物理的に関係する
"
Application,"アプリケーション
Ứng dụng


"
Presentation ,"プレゼンテーション
Trình diễn


"
Session ,"セション・セッション
Phiên


"
Transport ,"トランスポート
Giao vận


"
Data link  ,"データリンク
Liên kết dữ liệu


"
Service,"サービス
Dịch vụ

・サービス業、ITサービス
・サービスを提供する
"
Routing ,"ルーティング
Định tuyến

・ルーティング装置
"
Connector,"コネクタ
Đầu nối

・電気コネクタ
"
Cable ,"ケーブル
Dây nối, dây cáp

・地下ケーブル
・伝送ケーブル
"
